url,brand,first_reg,type,body_type,engine,fuel,mileage,drive_type,gearbox,color,price
https://www.auto24.ee/soidukid/4241837,Citroen Berlingo VAN N1,2024,sõiduauto,mahtuniversaal (N1),1.5 75kW,diisel,12000,esivedu,manuaal (6-käiguline),hall met. (Gris Platinium Metallic),21949
https://www.auto24.ee/soidukid/4230433,Volkswagen Passat Variant Highline Edition,2022,sõiduauto,universaal,2.0 TDi 110kW,diisel,197000,esivedu,automaat (7 Käiku),hõbedane met.,21950
https://www.auto24.ee/soidukid/4136353,Audi A5 SPORTBACK G-TRON,2018,sõiduauto,luukpära,2.0 125kW,bensiin + gaas (CNG/surugaas),161200,esivedu,automaat,hall met.,21990
https://www.auto24.ee/soidukid/4198835,Audi TT,2014,sõiduauto,kupee,2.0 169kW,bensiin,184772,nelikvedu,automaat,valge met.,21990
https://www.auto24.ee/soidukid/4125351,BMW 320 X-DRIVE,2020,sõiduauto,universaal,140kW,diisel,181000,nelikvedu,automaat,sinine met.,21990
https://www.auto24.ee/soidukid/4216445,BMW 520 M-Pakett,2017,sõiduauto,universaal,2.0 140kW,diisel,249500,tagavedu,automaat,must,21990
https://www.auto24.ee/soidukid/4226520,BMW 520 Msport,2019,sõiduauto,universaal,2.0 140kW,diisel,170000,tagavedu,automaat,hall met.,21990
https://www.auto24.ee/soidukid/4249744,BMW i3,2022,sõiduauto,sedaan,135kW,elekter,34300,tagavedu,automaat,valge,21990
https://www.auto24.ee/soidukid/4219300,BMW X1 Sport Line,2020,sõiduauto,universaal,2.0 110kW,diisel,140971,nelikvedu,automaat,hall met.,21990
https://www.auto24.ee/soidukid/4241062,BMW X5,2015,maastur,universaal,3.0 190kW,diisel,195000,nelikvedu,automaat,hall met.,21990
https://www.auto24.ee/soidukid/4153873,BMW X5 xDRIVE,2015,maastur,universaal,3.0 190kW,diisel,207000,nelikvedu,automaat,hall,21990
https://www.auto24.ee/soidukid/4168404,Citroen C5,2022,sõiduauto,universaal,1.2 96kW,bensiin,31193,esivedu,automaat,valge,21990
https://www.auto24.ee/soidukid/4240572,Hyundai Ioniq 5,2021,sõiduauto,luukpära,125kW,elekter,99500,tagavedu,automaat,valge,21990
https://www.auto24.ee/soidukid/4243482,Kia cee'd,2022,sõiduauto,universaal,1.6 77kW,pistikhübriid (bensiin / elekter),78479,esivedu,automaat,valge met.,21990
https://www.auto24.ee/soidukid/4223238,Mazda 3,2023,sõiduauto,luukpära,2.0 110kW,hübriid (bensiin / elekter),34020,esivedu,automaat,hall met. (Polymetal Gray),21990
https://www.auto24.ee/soidukid/4223239,Mazda 3,2023,sõiduauto,luukpära,2.0 110kW,hübriid (bensiin / elekter),45750,esivedu,automaat,must met. (Black metallik),21990
https://www.auto24.ee/soidukid/4144465,Mazda 6,2022,sõiduauto,sedaan,2.0 121kW,bensiin,50463,esivedu,automaat,sinine (Blue),21990
https://www.auto24.ee/soidukid/4222007,Mercedes-Benz A 250,2019,sõiduauto,universaal,2.0 165kW,bensiin,68979,esivedu,automaat,valge,21990
https://www.auto24.ee/soidukid/4200513,Mercedes-Benz E 220,2019,sõiduauto,universaal,2.0 D 143kW,diisel,196000,nelikvedu,automaat,punane met. (Hyacinth Red Metallic),21990
https://www.auto24.ee/soidukid/4242854,Mercedes-Benz E 350,2016,sõiduauto,sedaan,3.0 190kW,diisel,228903,tagavedu,automaat,must met.,21990
https://www.auto24.ee/soidukid/4228289,Mercedes-Benz GLC 220,2016,sõiduauto,universaal,2.1 125kW,diisel,166500,nelikvedu,automaat,must met.,21990
https://www.auto24.ee/soidukid/3822867,Mercedes-Benz S 400,2014,sõiduauto,sedaan,3.5 225kW,hübriid (bensiin / elekter),250000,tagavedu,automaat,must,21990
https://www.auto24.ee/soidukid/4213507,Mercedes-Benz V 220,2014,sõiduauto,mahtuniversaal,2.1 140kW,diisel,339000,tagavedu,automaat,sinine met.,21990
https://www.auto24.ee/soidukid/4094869,Nissan Juke,2024,sõiduauto,luukpära,1.0 84kW,bensiin,13500,esivedu,automaat,valge met.,21990
https://www.auto24.ee/soidukid/4072665,Opel Corsa GS 130 Turbo A,2024,sõiduauto,luukpära,96kW,bensiin,7,esivedu,automaat,punane met.,21990
https://www.auto24.ee/soidukid/4228151,Peugeot 3008 Plug-in Hybrid GT-Line,2021,sõiduauto,universaal,1.6 133kW,pistikhübriid (bensiin / elekter),107983,esivedu,automaat,tumehall met.,21990
https://www.auto24.ee/soidukid/4222539,Renault Arkana E-Tech ENGINEERED,2022,sõiduauto,luukpära (LUUKPÄRA),1.6 69kW,hübriid (bensiin / elekter),86924,esivedu,automaat (AUTOMAAT),valge met. (White metallik),21990
https://www.auto24.ee/soidukid/4228084,Renault Arkana R S LINE E-TECH,2022,sõiduauto,luukpära (LUUKPÄRA),1.6 69kW,hübriid (bensiin / elekter),62273,esivedu,automaat (AUTOMAAT),oranž met. (Orange metallik),21990
